# model split sequences_per_A_rank mtp_nextn microbatches backend
qwen3_235b_fp4 4:4 192 0 2 mega
qwen3_235b_fp4 4:4 192 0 2 deepep
qwen3_235b_fp4 4:4 288 0 2 mega
qwen3_235b_fp4 4:4 288 0 2 deepep
qwen3_235b_fp4 4:4 480 0 2 mega
qwen3_235b_fp4 4:4 480 0 2 deepep
qwen3_235b_fp4 4:4 768 0 2 mega
qwen3_235b_fp4 4:4 768 0 2 deepep
qwen3_235b_fp4 4:4 1088 0 2 mega
qwen3_235b_fp4 4:4 1088 0 2 deepep
qwen3_235b_fp4 4:4 192 3 2 mega
qwen3_235b_fp4 4:4 192 3 2 deepep
qwen3_235b_fp4 4:4 320 3 2 mega
qwen3_235b_fp4 4:4 320 3 2 deepep
qwen3_235b_fp4 4:4 384 3 2 mega
qwen3_235b_fp4 4:4 384 3 2 deepep
qwen3_235b_fp4 4:4 400 3 2 mega
qwen3_235b_fp4 4:4 400 3 2 deepep
minimax_m25_fp4 4:4 192 0 2 mega
minimax_m25_fp4 4:4 192 0 2 deepep
minimax_m25_fp4 4:4 320 0 2 mega
minimax_m25_fp4 4:4 320 0 2 deepep
minimax_m25_fp4 4:4 512 0 2 mega
minimax_m25_fp4 4:4 512 0 2 deepep
minimax_m25_fp4 4:4 704 0 2 mega
minimax_m25_fp4 4:4 704 0 2 deepep
minimax_m25_fp4 4:4 1088 0 2 mega
minimax_m25_fp4 4:4 1088 0 2 deepep
minimax_m25_fp4 4:4 192 1 2 mega
minimax_m25_fp4 4:4 192 1 2 deepep
minimax_m25_fp4 4:4 320 1 2 mega
minimax_m25_fp4 4:4 320 1 2 deepep
minimax_m25_fp4 4:4 512 1 2 mega
minimax_m25_fp4 4:4 512 1 2 deepep
minimax_m25_fp4 4:4 704 1 2 mega
minimax_m25_fp4 4:4 704 1 2 deepep
minimax_m3_fp4 4:4 192 0 2 mega
minimax_m3_fp4 4:4 192 0 2 deepep
minimax_m3_fp4 4:4 256 0 2 mega
minimax_m3_fp4 4:4 256 0 2 deepep
minimax_m3_fp4 4:4 192 1 2 mega
minimax_m3_fp4 4:4 192 1 2 deepep
minimax_m3_fp4 4:4 256 1 2 mega
minimax_m3_fp4 4:4 256 1 2 deepep
deepseek_v4_flash_fp4 4:4 192 0 2 mega
deepseek_v4_flash_fp4 4:4 192 0 2 deepep
deepseek_v4_flash_fp4 4:4 240 0 2 mega
deepseek_v4_flash_fp4 4:4 240 0 2 deepep
deepseek_v4_flash_fp4 4:4 288 0 2 mega
deepseek_v4_flash_fp4 4:4 288 0 2 deepep
deepseek_v4_flash_fp4 4:4 336 0 2 mega
deepseek_v4_flash_fp4 4:4 336 0 2 deepep
deepseek_v4_flash_fp4 4:4 384 0 2 mega
deepseek_v4_flash_fp4 4:4 384 0 2 deepep
deepseek_v4_flash_fp4 4:4 576 0 2 mega
deepseek_v4_flash_fp4 4:4 576 0 2 deepep
deepseek_v4_flash_fp4 4:4 192 2 2 mega
deepseek_v4_flash_fp4 4:4 192 2 2 deepep
deepseek_v4_flash_fp4 4:4 384 2 2 mega
deepseek_v4_flash_fp4 4:4 384 2 2 deepep
deepseek_v4_pro_fp4 2:6 192 0 2 mega
deepseek_v4_pro_fp4 2:6 192 0 2 deepep
deepseek_v4_pro_fp4 2:6 384 0 2 mega
deepseek_v4_pro_fp4 2:6 384 0 2 deepep
deepseek_v4_pro_fp4 2:6 576 0 2 mega
deepseek_v4_pro_fp4 2:6 576 0 2 deepep
deepseek_v4_pro_fp4 2:6 720 0 2 mega
deepseek_v4_pro_fp4 2:6 720 0 2 deepep
deepseek_v4_pro_fp4 2:6 192 2 2 mega
deepseek_v4_pro_fp4 2:6 192 2 2 deepep
deepseek_v4_pro_fp4 2:6 384 2 2 mega
deepseek_v4_pro_fp4 2:6 384 2 2 deepep
deepseek_v4_pro_fp4 2:6 576 2 2 mega
deepseek_v4_pro_fp4 2:6 576 2 2 deepep
