# model tokens_per_rank mtp_nextn backend
qwen3_235b_fp4 192 0 both
qwen3_235b_fp4 256 0 both
qwen3_235b_fp4 192 3 both
qwen3_235b_fp4 256 3 both
minimax_m25_fp4 192 0 both
minimax_m25_fp4 256 0 both
minimax_m25_fp4 192 1 both
minimax_m25_fp4 256 1 both
minimax_m3_fp4 192 0 both
minimax_m3_fp4 256 0 both
minimax_m3_fp4 192 1 both
minimax_m3_fp4 256 1 both
deepseek_v4_flash_fp4 192 0 both
deepseek_v4_flash_fp4 256 0 both
deepseek_v4_flash_fp4 192 2 both
deepseek_v4_flash_fp4 256 2 both
deepseek_v4_pro_fp4 192 0 both
deepseek_v4_pro_fp4 256 0 both
deepseek_v4_pro_fp4 192 2 both
deepseek_v4_pro_fp4 256 2 both
