# model tokens_per_rank mtp_nextn backend
qwen3_235b_fp4 1 0 both
qwen3_235b_fp4 2 0 both
qwen3_235b_fp4 4 0 both
qwen3_235b_fp4 8 0 both
qwen3_235b_fp4 16 0 both
qwen3_235b_fp4 32 0 both
qwen3_235b_fp4 1 3 both
qwen3_235b_fp4 2 3 both
qwen3_235b_fp4 4 3 both
qwen3_235b_fp4 8 3 both
qwen3_235b_fp4 16 3 both
qwen3_235b_fp4 32 3 both
minimax_m25_fp4 1 0 both
minimax_m25_fp4 2 0 both
minimax_m25_fp4 4 0 both
minimax_m25_fp4 8 0 both
minimax_m25_fp4 16 0 both
minimax_m25_fp4 32 0 both
minimax_m25_fp4 1 1 both
minimax_m25_fp4 2 1 both
minimax_m25_fp4 4 1 both
minimax_m25_fp4 8 1 both
minimax_m25_fp4 16 1 both
minimax_m25_fp4 32 1 both
minimax_m3_fp4 1 0 both
minimax_m3_fp4 2 0 both
minimax_m3_fp4 4 0 both
minimax_m3_fp4 8 0 both
minimax_m3_fp4 16 0 both
minimax_m3_fp4 32 0 both
minimax_m3_fp4 1 1 both
minimax_m3_fp4 2 1 both
minimax_m3_fp4 4 1 both
minimax_m3_fp4 8 1 both
minimax_m3_fp4 16 1 both
minimax_m3_fp4 32 1 both
minimax_m3_fp4 1 2 both
minimax_m3_fp4 2 2 both
minimax_m3_fp4 4 2 both
minimax_m3_fp4 8 2 both
minimax_m3_fp4 16 2 both
minimax_m3_fp4 32 2 both
deepseek_v4_flash_fp4 1 0 both
deepseek_v4_flash_fp4 2 0 both
deepseek_v4_flash_fp4 4 0 both
deepseek_v4_flash_fp4 8 0 both
deepseek_v4_flash_fp4 16 0 both
deepseek_v4_flash_fp4 32 0 both
deepseek_v4_flash_fp4 1 2 both
deepseek_v4_flash_fp4 2 2 both
deepseek_v4_flash_fp4 4 2 both
deepseek_v4_flash_fp4 8 2 both
deepseek_v4_flash_fp4 16 2 both
deepseek_v4_flash_fp4 32 2 both
deepseek_v4_pro_fp4 1 0 both
deepseek_v4_pro_fp4 2 0 both
deepseek_v4_pro_fp4 4 0 both
deepseek_v4_pro_fp4 8 0 both
deepseek_v4_pro_fp4 16 0 both
deepseek_v4_pro_fp4 32 0 both
deepseek_v4_pro_fp4 1 2 both
deepseek_v4_pro_fp4 2 2 both
deepseek_v4_pro_fp4 4 2 both
deepseek_v4_pro_fp4 8 2 both
deepseek_v4_pro_fp4 16 2 both
deepseek_v4_pro_fp4 32 2 both
