# model split sequences_per_A_rank mtp_nextn microbatches backend
qwen3_235b_fp4 4:4 1 0 1 mega
qwen3_235b_fp4 4:4 1 0 1 deepep
qwen3_235b_fp4 4:4 4 0 1 mega
qwen3_235b_fp4 4:4 4 0 1 deepep
qwen3_235b_fp4 4:4 8 0 1 mega
qwen3_235b_fp4 4:4 8 0 1 deepep
qwen3_235b_fp4 4:4 16 0 1 mega
qwen3_235b_fp4 4:4 16 0 1 deepep
qwen3_235b_fp4 4:4 32 0 1 mega
qwen3_235b_fp4 4:4 32 0 1 deepep
qwen3_235b_fp4 4:4 2 0 2 mega
qwen3_235b_fp4 4:4 2 0 2 deepep
qwen3_235b_fp4 4:4 4 0 2 mega
qwen3_235b_fp4 4:4 4 0 2 deepep
qwen3_235b_fp4 4:4 8 0 2 mega
qwen3_235b_fp4 4:4 8 0 2 deepep
qwen3_235b_fp4 4:4 16 0 2 mega
qwen3_235b_fp4 4:4 16 0 2 deepep
qwen3_235b_fp4 4:4 32 0 2 mega
qwen3_235b_fp4 4:4 32 0 2 deepep
qwen3_235b_fp4 4:4 4 0 4 mega
qwen3_235b_fp4 4:4 4 0 4 deepep
qwen3_235b_fp4 4:4 8 0 4 mega
qwen3_235b_fp4 4:4 8 0 4 deepep
qwen3_235b_fp4 4:4 16 0 4 mega
qwen3_235b_fp4 4:4 16 0 4 deepep
qwen3_235b_fp4 4:4 32 0 4 mega
qwen3_235b_fp4 4:4 32 0 4 deepep
qwen3_235b_fp4 4:4 1 3 1 mega
qwen3_235b_fp4 4:4 1 3 1 deepep
qwen3_235b_fp4 4:4 4 3 1 mega
qwen3_235b_fp4 4:4 4 3 1 deepep
qwen3_235b_fp4 4:4 8 3 1 mega
qwen3_235b_fp4 4:4 8 3 1 deepep
qwen3_235b_fp4 4:4 16 3 1 mega
qwen3_235b_fp4 4:4 16 3 1 deepep
qwen3_235b_fp4 4:4 32 3 1 mega
qwen3_235b_fp4 4:4 32 3 1 deepep
qwen3_235b_fp4 4:4 2 3 2 mega
qwen3_235b_fp4 4:4 2 3 2 deepep
qwen3_235b_fp4 4:4 4 3 2 mega
qwen3_235b_fp4 4:4 4 3 2 deepep
qwen3_235b_fp4 4:4 8 3 2 mega
qwen3_235b_fp4 4:4 8 3 2 deepep
qwen3_235b_fp4 4:4 16 3 2 mega
qwen3_235b_fp4 4:4 16 3 2 deepep
qwen3_235b_fp4 4:4 32 3 2 mega
qwen3_235b_fp4 4:4 32 3 2 deepep
qwen3_235b_fp4 4:4 4 3 4 mega
qwen3_235b_fp4 4:4 4 3 4 deepep
qwen3_235b_fp4 4:4 8 3 4 mega
qwen3_235b_fp4 4:4 8 3 4 deepep
qwen3_235b_fp4 4:4 16 3 4 mega
qwen3_235b_fp4 4:4 16 3 4 deepep
qwen3_235b_fp4 4:4 32 3 4 mega
qwen3_235b_fp4 4:4 32 3 4 deepep
minimax_m25_fp4 4:4 1 0 1 mega
minimax_m25_fp4 4:4 1 0 1 deepep
minimax_m25_fp4 4:4 4 0 1 mega
minimax_m25_fp4 4:4 4 0 1 deepep
minimax_m25_fp4 4:4 8 0 1 mega
minimax_m25_fp4 4:4 8 0 1 deepep
